S No.,Manufacturer/Importer Name and address,License Number,Name of Device and Device Class,Intended Use,Brand Name,Model Numbers,Issuing Authority,Action,Address,Intended,Price (INR),Specifications / Details
11,"LifeCare Innovations, Tech Park, OMR, Chennai, Tamil Nadu",Licence no: MFG/MD/2018/00675 Issued on: 28-MAR-2018,"Digital Blood Pressure Monitor, class type: Class B",To measure systolic and diastolic blood pressure non-invasively.,BP-Plus,BP-7025,SLA - Karnataka,,"Legal Manufacturing Site : LifeCare Innovations Unit, Tamil Nadu",To measure systolic and diastolic blood pressure non-invasively.,4100,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
12,"NovaBio Tech, Phase 8, Industrial Area, Mohali, Punjab",Licence no: IMP/MD/2019/00294 Issued on: 26-FEB-2019,"Digital Blood Pressure Monitor, class type: Class B",To measure systolic and diastolic blood pressure non-invasively.,BP-Max,BP-1145A,SLA - Delhi,,"Legal Manufacturing Site : NovaBio Tech Unit, Punjab",To measure systolic and diastolic blood pressure non-invasively.,2500,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
13,"Zenith Medical Devices, Tower B, BKC, Bandra East, Mumbai, Maharashtra",Licence no: IMP/MD/2020/00579 Issued on: 06-OCT-2020,"Digital Blood Pressure Monitor, class type: Class B",To measure systolic and diastolic blood pressure non-invasively.,BP-Advance,BP-7783A,SLA - Tamil Nadu,,"Legal Manufacturing Site : Zenith Medical Devices Unit, Maharashtra",To measure systolic and diastolic blood pressure non-invasively.,4400,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
14,"Pioneer Health Systems, Sector V, Salt Lake, Kolkata, West Bengal",Licence no: IMP/MD/2022/00794 Issued on: 05-JUL-2022,"Digital Blood Pressure Monitor, class type: Class B",To measure systolic and diastolic blood pressure non-invasively.,BP-Ultra,BP-9163X,SLA - Delhi,,"Legal Manufacturing Site : Pioneer Health Systems Unit, West Bengal",To measure systolic and diastolic blood pressure non-invasively.,3700,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
15,"Zenith Medical Devices, Tower B, BKC, Bandra East, Mumbai, Maharashtra",Licence no: MFG/MD/2022/00928 Issued on: 07-AUG-2022,"Digital Blood Pressure Monitor, class type: Class B",To measure systolic and diastolic blood pressure non-invasively.,BP-Basic,BP-6001A,SLA - Tamil Nadu,,"Legal Manufacturing Site : Zenith Medical Devices Unit, Maharashtra",To measure systolic and diastolic blood pressure non-invasively.,4000,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
16,"Zenith Medical Devices, Tower B, BKC, Bandra East, Mumbai, Maharashtra",Licence no: MFG/MD/2021/00595 Issued on: 23-JUL-2021,"ECG Machine, class type: Class B",Records the electrical signal from the heart to check for different heart conditions.,Cardio-Max,Cardio-7652X,SLA - Telangana,,"Legal Manufacturing Site : Zenith Medical Devices Unit, Maharashtra",Records the electrical signal from the heart to check for different heart conditions.,51000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
17,"Astra Medical Supplies, Ring Road, Surat, Gujarat",Licence no: IMP/MD/2023/00297 Issued on: 23-DEC-2023,"ECG Machine, class type: Class B",Records the electrical signal from the heart to check for different heart conditions.,Cardio-Pro,Cardio-5439B,CLA - CDSCO,,"Legal Manufacturing Site : Astra Medical Supplies Unit, Gujarat",Records the electrical signal from the heart to check for different heart conditions.,41000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
18,"Spark Peripheral Technologies, Shop 1, Moolchand Market, New Delhi",Licence no: IMP/MD/2020/00310 Issued on: 01-NOV-2020,"ECG Machine, class type: Class B",Records the electrical signal from the heart to check for different heart conditions.,Cardio-Elite,Cardio-1393A,SLA - Maharashtra,,"Legal Manufacturing Site : Spark Peripheral Technologies Unit, New Delhi",Records the electrical signal from the heart to check for different heart conditions.,69000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
19,"Quantum Care Co., Jubilee Hills, Hyderabad, Telangana",Licence no: IMP/MD/2019/00444 Issued on: 14-JUN-2019,"ECG Machine, class type: Class B",Records the electrical signal from the heart to check for different heart conditions.,Cardio-Basic,Cardio-3520X,SLA - Gujarat,,"Legal Manufacturing Site : Quantum Care Co. Unit, Telangana",Records the electrical signal from the heart to check for different heart conditions.,39000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
20,"MediCorp India Pvt Ltd, Cyber City, Phase 2, Gurgaon, Haryana",Licence no: IMP/MD/2021/00822 Issued on: 21-NOV-2021,"ECG Machine, class type: Class B",Records the electrical signal from the heart to check for different heart conditions.,Cardio-Elite,Cardio-5200A,SLA - Tamil Nadu,,"Legal Manufacturing Site : MediCorp India Pvt Ltd Unit, Haryana",Records the electrical signal from the heart to check for different heart conditions.,28000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
21,"Pioneer Health Systems, Sector V, Salt Lake, Kolkata, West Bengal",Licence no: IMP/MD/2022/00932 Issued on: 11-DEC-2022,"ECG Machine, class type: Class B",Records the electrical signal from the heart to check for different heart conditions.,Cardio-Plus,Cardio-8411,CLA - CDSCO,,"Legal Manufacturing Site : Pioneer Health Systems Unit, West Bengal",Records the electrical signal from the heart to check for different heart conditions.,57000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
22,"MediCorp India Pvt Ltd, Cyber City, Phase 2, Gurgaon, Haryana",Licence no: IMP/MD/2023/00822 Issued on: 17-NOV-2023,"ECG Machine, class type: Class B",Records the electrical signal from the heart to check for different heart conditions.,Cardio-Max,Cardio-6855B,CLA - CDSCO,,"Legal Manufacturing Site : MediCorp India Pvt Ltd Unit, Haryana",Records the electrical signal from the heart to check for different heart conditions.,69000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
23,"NovaBio Tech, Phase 8, Industrial Area, Mohali, Punjab",Licence no: MFG/MD/2022/00188 Issued on: 03-JUL-2022,"ECG Machine, class type: Class B",Records the electrical signal from the heart to check for different heart conditions.,Cardio-Max,Cardio-9852,SLA - Telangana,,"Legal Manufacturing Site : NovaBio Tech Unit, Punjab",Records the electrical signal from the heart to check for different heart conditions.,82000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
24,"Pioneer Health Systems, Sector V, Salt Lake, Kolkata, West Bengal",Licence no: IMP/MD/2022/00474 Issued on: 26-NOV-2022,"ECG Machine, class type: Class B",Records the electrical signal from the heart to check for different heart conditions.,Cardio-Basic,Cardio-7512,SLA - Karnataka,,"Legal Manufacturing Site : Pioneer Health Systems Unit, West Bengal",Records the electrical signal from the heart to check for different heart conditions.,53000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
25,"Pioneer Health Systems, Sector V, Salt Lake, Kolkata, West Bengal",Licence no: MFG/MD/2023/00217 Issued on: 22-AUG-2023,"Hemodialysis Machine, class type: Class C",Filters a patient's blood to remove excess water and waste products.,Dialys-Ultra,Dialys-5315A,SLA - Telangana,,"Legal Manufacturing Site : Pioneer Health Systems Unit, West Bengal",Filters a patient's blood to remove excess water and waste products.,760000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
26,"LifeCare Innovations, Tech Park, OMR, Chennai, Tamil Nadu",Licence no: IMP/MD/2020/00638 Issued on: 11-SEP-2020,"Hemodialysis Machine, class type: Class C",Filters a patient's blood to remove excess water and waste products.,Dialys-Elite,Dialys-7444,SLA - Delhi,,"Legal Manufacturing Site : LifeCare Innovations Unit, Tamil Nadu",Filters a patient's blood to remove excess water and waste products.,830000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
27,"Spark Peripheral Technologies, Shop 1, Moolchand Market, New Delhi",Licence no: IMP/MD/2022/00593 Issued on: 27-DEC-2022,"Hemodialysis Machine, class type: Class C",Filters a patient's blood to remove excess water and waste products.,Dialys-Elite,Dialys-6881X,SLA - Maharashtra,,"Legal Manufacturing Site : Spark Peripheral Technologies Unit, New Delhi",Filters a patient's blood to remove excess water and waste products.,1350000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
28,"Quantum Care Co., Jubilee Hills, Hyderabad, Telangana",Licence no: IMP/MD/2021/00343 Issued on: 10-DEC-2021,"Hemodialysis Machine, class type: Class C",Filters a patient's blood to remove excess water and waste products.,Dialys-Max,Dialys-6250B,SLA - Tamil Nadu,,"Legal Manufacturing Site : Quantum Care Co. Unit, Telangana",Filters a patient's blood to remove excess water and waste products.,1480000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
29,"Apex Surgical Imports, 12, GIDC, Makarpura, Vadodara, Gujarat",Licence no: MFG/MD/2024/00910 Issued on: 21-OCT-2024,"Hemodialysis Machine, class type: Class C",Filters a patient's blood to remove excess water and waste products.,Dialys-Elite,Dialys-5070B,SLA - Tamil Nadu,,"Legal Manufacturing Site : Apex Surgical Imports Unit, Gujarat",Filters a patient's blood to remove excess water and waste products.,1480000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
30,"Pioneer Health Systems, Sector V, Salt Lake, Kolkata, West Bengal",Licence no: IMP/MD/2024/00474 Issued on: 21-DEC-2024,"Hemodialysis Machine, class type: Class C",Filters a patient's blood to remove excess water and waste products.,Dialys-Plus,Dialys-5061B,SLA - Delhi,,"Legal Manufacturing Site : Pioneer Health Systems Unit, West Bengal",Filters a patient's blood to remove excess water and waste products.,1050000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
31,"Pioneer Health Systems, Sector V, Salt Lake, Kolkata, West Bengal",Licence no: IMP/MD/2021/00787 Issued on: 18-JUN-2021,"Hemodialysis Machine, class type: Class C",Filters a patient's blood to remove excess water and waste products.,Dialys-Elite,Dialys-8818A,CLA - CDSCO,,"Legal Manufacturing Site : Pioneer Health Systems Unit, West Bengal",Filters a patient's blood to remove excess water and waste products.,1290000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
32,"MediCorp India Pvt Ltd, Cyber City, Phase 2, Gurgaon, Haryana",Licence no: IMP/MD/2020/00916 Issued on: 09-JAN-2020,"Infusion Pump, class type: Class B","Infuses fluids, medication or nutrients into a patient's circulatory system.",Infuse-Advance,Infuse-5162A,SLA - Tamil Nadu,,"Legal Manufacturing Site : MediCorp India Pvt Ltd Unit, Haryana","Infuses fluids, medication or nutrients into a patient's circulatory system.",50000,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
33,"LifeCare Innovations, Tech Park, OMR, Chennai, Tamil Nadu",Licence no: IMP/MD/2022/00386 Issued on: 03-JUL-2022,"Infusion Pump, class type: Class B","Infuses fluids, medication or nutrients into a patient's circulatory system.",Infuse-Plus,Infuse-9438B,SLA - Maharashtra,,"Legal Manufacturing Site : LifeCare Innovations Unit, Tamil Nadu","Infuses fluids, medication or nutrients into a patient's circulatory system.",54000,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
34,"Zenith Medical Devices, Tower B, BKC, Bandra East, Mumbai, Maharashtra",Licence no: IMP/MD/2023/00575 Issued on: 05-OCT-2023,"Infusion Pump, class type: Class B","Infuses fluids, medication or nutrients into a patient's circulatory system.",Infuse-X,Infuse-5232X,SLA - Karnataka,,"Legal Manufacturing Site : Zenith Medical Devices Unit, Maharashtra","Infuses fluids, medication or nutrients into a patient's circulatory system.",23000,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
35,"LifeCare Innovations, Tech Park, OMR, Chennai, Tamil Nadu",Licence no: MFG/MD/2022/00639 Issued on: 03-JUN-2022,"Infusion Pump, class type: Class B","Infuses fluids, medication or nutrients into a patient's circulatory system.",Infuse-Ultra,Infuse-9986B,CLA - CDSCO,,"Legal Manufacturing Site : LifeCare Innovations Unit, Tamil Nadu","Infuses fluids, medication or nutrients into a patient's circulatory system.",67000,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
36,"LifeCare Innovations, Tech Park, OMR, Chennai, Tamil Nadu",Licence no: IMP/MD/2019/00896 Issued on: 09-JUN-2019,"Infusion Pump, class type: Class B","Infuses fluids, medication or nutrients into a patient's circulatory system.",Infuse-Plus,Infuse-4938X,SLA - Tamil Nadu,,"Legal Manufacturing Site : LifeCare Innovations Unit, Tamil Nadu","Infuses fluids, medication or nutrients into a patient's circulatory system.",46000,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
37,"LifeCare Innovations, Tech Park, OMR, Chennai, Tamil Nadu",Licence no: IMP/MD/2021/00424 Issued on: 20-FEB-2021,"Infusion Pump, class type: Class B","Infuses fluids, medication or nutrients into a patient's circulatory system.",Infuse-Max,Infuse-1176X,SLA - Tamil Nadu,,"Legal Manufacturing Site : LifeCare Innovations Unit, Tamil Nadu","Infuses fluids, medication or nutrients into a patient's circulatory system.",54000,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
38,"Zenith Medical Devices, Tower B, BKC, Bandra East, Mumbai, Maharashtra",Licence no: IMP/MD/2023/00687 Issued on: 16-MAR-2023,"Insulin Syringe, class type: Class B",Subcutaneous injection of insulin.,InsuInject-Advance,InsuInject-8935B,CLA - CDSCO,,"Legal Manufacturing Site : Zenith Medical Devices Unit, Maharashtra",Subcutaneous injection of insulin.,100,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
39,"Astra Medical Supplies, Ring Road, Surat, Gujarat",Licence no: IMP/MD/2021/00575 Issued on: 16-JUL-2021,"Insulin Syringe, class type: Class B",Subcutaneous injection of insulin.,InsuInject-Basic,InsuInject-4548B,SLA - Telangana,,"Legal Manufacturing Site : Astra Medical Supplies Unit, Gujarat",Subcutaneous injection of insulin.,80,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
40,"Spark Peripheral Technologies, Shop 1, Moolchand Market, New Delhi",Licence no: IMP/MD/2022/00428 Issued on: 08-NOV-2022,"Insulin Syringe, class type: Class B",Subcutaneous injection of insulin.,InsuInject-Ultra,InsuInject-9461,CLA - CDSCO,,"Legal Manufacturing Site : Spark Peripheral Technologies Unit, New Delhi",Subcutaneous injection of insulin.,50,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
41,"Apex Surgical Imports, 12, GIDC, Makarpura, Vadodara, Gujarat",Licence no: IMP/MD/2024/00972 Issued on: 11-OCT-2024,"MRI Scanner, class type: Class C",Uses strong magnetic fields and radio waves to generate images of the organs in the body.,MRI-Plus,MRI-7698,SLA - Karnataka,,"Legal Manufacturing Site : Apex Surgical Imports Unit, Gujarat",Uses strong magnetic fields and radio waves to generate images of the organs in the body.,15230000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
42,"Global Health Solutions, Plot 45, Industrial Area, Peenya, Bangalore",Licence no: IMP/MD/2019/00534 Issued on: 03-JUL-2019,"MRI Scanner, class type: Class C",Uses strong magnetic fields and radio waves to generate images of the organs in the body.,MRI-Max,MRI-1098B,SLA - Delhi,,"Legal Manufacturing Site : Global Health Solutions Unit, Bangalore",Uses strong magnetic fields and radio waves to generate images of the organs in the body.,33110000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
43,"Astra Medical Supplies, Ring Road, Surat, Gujarat",Licence no: IMP/MD/2022/00900 Issued on: 25-APR-2022,"MRI Scanner, class type: Class C",Uses strong magnetic fields and radio waves to generate images of the organs in the body.,MRI-X,MRI-2447X,CLA - CDSCO,,"Legal Manufacturing Site : Astra Medical Supplies Unit, Gujarat",Uses strong magnetic fields and radio waves to generate images of the organs in the body.,50660000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
44,"Quantum Care Co., Jubilee Hills, Hyderabad, Telangana",Licence no: IMP/MD/2019/00596 Issued on: 11-JUL-2019,"MRI Scanner, class type: Class C",Uses strong magnetic fields and radio waves to generate images of the organs in the body.,MRI-Basic,MRI-1396A,SLA - Maharashtra,,"Legal Manufacturing Site : Quantum Care Co. Unit, Telangana",Uses strong magnetic fields and radio waves to generate images of the organs in the body.,40640000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
45,"Apex Surgical Imports, 12, GIDC, Makarpura, Vadodara, Gujarat",Licence no: MFG/MD/2018/00508 Issued on: 16-JUL-2018,"N95 Surgical Respirator, class type: Class A",Reduces wearer exposure to airborne particulate hazards and fluid resistance.,SafeMask-Elite,SafeMask-7406B,SLA - Tamil Nadu,,"Legal Manufacturing Site : Apex Surgical Imports Unit, Gujarat",Reduces wearer exposure to airborne particulate hazards and fluid resistance.,140,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
46,"LifeCare Innovations, Tech Park, OMR, Chennai, Tamil Nadu",Licence no: MFG/MD/2020/00432 Issued on: 10-FEB-2020,"N95 Surgical Respirator, class type: Class A",Reduces wearer exposure to airborne particulate hazards and fluid resistance.,SafeMask-Pro,SafeMask-2058,SLA - Gujarat,,"Legal Manufacturing Site : LifeCare Innovations Unit, Tamil Nadu",Reduces wearer exposure to airborne particulate hazards and fluid resistance.,240,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
47,"Global Health Solutions, Plot 45, Industrial Area, Peenya, Bangalore",Licence no: MFG/MD/2024/00249 Issued on: 24-MAR-2024,"N95 Surgical Respirator, class type: Class A",Reduces wearer exposure to airborne particulate hazards and fluid resistance.,SafeMask-Advance,SafeMask-3616A,SLA - Maharashtra,,"Legal Manufacturing Site : Global Health Solutions Unit, Bangalore",Reduces wearer exposure to airborne particulate hazards and fluid resistance.,400,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
48,"Pioneer Health Systems, Sector V, Salt Lake, Kolkata, West Bengal",Licence no: IMP/MD/2018/00186 Issued on: 17-JUN-2018,"N95 Surgical Respirator, class type: Class A",Reduces wearer exposure to airborne particulate hazards and fluid resistance.,SafeMask-Plus,SafeMask-5116,SLA - Karnataka,,"Legal Manufacturing Site : Pioneer Health Systems Unit, West Bengal",Reduces wearer exposure to airborne particulate hazards and fluid resistance.,450,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
49,"MediCorp India Pvt Ltd, Cyber City, Phase 2, Gurgaon, Haryana",Licence no: IMP/MD/2022/00436 Issued on: 06-DEC-2022,"Orthopedic Bone Screws, class type: Class C",Used for internal fixation of bone fractures.,Ortho-Advance,Ortho-9579,SLA - Karnataka,,"Legal Manufacturing Site : MediCorp India Pvt Ltd Unit, Haryana",Used for internal fixation of bone fractures.,1200,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
50,"LifeCare Innovations, Tech Park, OMR, Chennai, Tamil Nadu",Licence no: IMP/MD/2023/00295 Issued on: 20-SEP-2023,"Orthopedic Bone Screws, class type: Class C",Used for internal fixation of bone fractures.,Ortho-Pro,Ortho-7949X,CLA - CDSCO,,"Legal Manufacturing Site : LifeCare Innovations Unit, Tamil Nadu",Used for internal fixation of bone fractures.,520,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
51,"Pioneer Health Systems, Sector V, Salt Lake, Kolkata, West Bengal",Licence no: MFG/MD/2024/00971 Issued on: 05-MAY-2024,"Orthopedic Bone Screws, class type: Class C",Used for internal fixation of bone fractures.,Ortho-Max,Ortho-6927B,CLA - CDSCO,,"Legal Manufacturing Site : Pioneer Health Systems Unit, West Bengal",Used for internal fixation of bone fractures.,650,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
52,"LifeCare Innovations, Tech Park, OMR, Chennai, Tamil Nadu",Licence no: MFG/MD/2020/00286 Issued on: 04-SEP-2020,"Orthopedic Bone Screws, class type: Class C",Used for internal fixation of bone fractures.,Ortho-Basic,Ortho-9704A,SLA - Karnataka,,"Legal Manufacturing Site : LifeCare Innovations Unit, Tamil Nadu",Used for internal fixation of bone fractures.,880,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
53,"Zenith Medical Devices, Tower B, BKC, Bandra East, Mumbai, Maharashtra",Licence no: MFG/MD/2019/00872 Issued on: 17-FEB-2019,"Orthopedic Bone Screws, class type: Class C",Used for internal fixation of bone fractures.,Ortho-Elite,Ortho-3544A,SLA - Telangana,,"Legal Manufacturing Site : Zenith Medical Devices Unit, Maharashtra",Used for internal fixation of bone fractures.,1800,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
54,"NovaBio Tech, Phase 8, Industrial Area, Mohali, Punjab",Licence no: MFG/MD/2018/00408 Issued on: 16-NOV-2018,"Patient Monitor, class type: Class B","Measures, records, distributes and displays combinations of biometric values.",Vital-Plus,Vital-4475X,SLA - Delhi,,"Legal Manufacturing Site : NovaBio Tech Unit, Punjab","Measures, records, distributes and displays combinations of biometric values.",64000,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
55,"NovaBio Tech, Phase 8, Industrial Area, Mohali, Punjab",Licence no: MFG/MD/2022/00204 Issued on: 08-APR-2022,"Patient Monitor, class type: Class B","Measures, records, distributes and displays combinations of biometric values.",Vital-Plus,Vital-5861X,SLA - Tamil Nadu,,"Legal Manufacturing Site : NovaBio Tech Unit, Punjab","Measures, records, distributes and displays combinations of biometric values.",110000,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
56,"Apex Surgical Imports, 12, GIDC, Makarpura, Vadodara, Gujarat",Licence no: IMP/MD/2023/00292 Issued on: 17-OCT-2023,"Patient Monitor, class type: Class B","Measures, records, distributes and displays combinations of biometric values.",Vital-Ultra,Vital-8405X,CLA - CDSCO,,"Legal Manufacturing Site : Apex Surgical Imports Unit, Gujarat","Measures, records, distributes and displays combinations of biometric values.",79000,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
